timestamp,scenario_id,step_index,source,co2_ppm,temperature_c,humidity_percent,person_count,vision_confidence,fan,window
2026-06-16T15:56:31.536038+00:00,lab_overcrowded_high_co2,0,reset,780,27.8,61,8,0.84,OFF,CLOSED
2026-06-16T15:56:31.542176+00:00,lab_overcrowded_high_co2,1,step,980,28.4,64,18,0.83,OFF,CLOSED
2026-06-16T15:56:31.545493+00:00,lab_overcrowded_high_co2,1,manual_update,1850.0,28.4,64,35,0.82,OFF,CLOSED
2026-06-18T01:10:03.932858+00:00,lab_overcrowded_high_co2,0,reset,780,27.8,61,8,0.84,OFF,CLOSED
2026-06-18T01:10:03.939856+00:00,lab_overcrowded_high_co2,1,step,980,28.4,64,18,0.83,OFF,CLOSED
2026-06-18T01:10:03.944856+00:00,lab_overcrowded_high_co2,1,manual_update,1850.0,28.4,64,35,0.82,OFF,CLOSED
2026-06-18T01:10:59.775918+00:00,lab_overcrowded_high_co2,0,reset,780,27.8,61,8,0.84,OFF,CLOSED
2026-06-18T01:11:17.942776+00:00,lab_overcrowded_high_co2,0,reset,780,27.8,61,8,0.84,OFF,CLOSED
2026-06-18T02:07:51.471183+00:00,lab_overcrowded_high_co2,0,reset,780,27.8,61,8,0.84,OFF,CLOSED
2026-06-18T02:07:51.482182+00:00,lab_overcrowded_high_co2,1,step,980,28.4,64,18,0.83,OFF,CLOSED
2026-06-18T02:07:51.487180+00:00,lab_overcrowded_high_co2,1,manual_update,1850.0,28.4,64,35,0.82,OFF,CLOSED
2026-06-18T03:03:58.109628+00:00,lab_overcrowded_high_co2,0,reset,780,27.8,61,8,0.84,OFF,CLOSED
2026-06-18T03:03:58.125253+00:00,lab_overcrowded_high_co2,1,step,980,28.4,64,18,0.83,OFF,CLOSED
2026-06-18T03:03:58.125253+00:00,lab_overcrowded_high_co2,1,manual_update,1850.0,28.4,64,35,0.82,OFF,CLOSED
2026-06-18T03:04:17.593752+00:00,lab_overcrowded_high_co2,0,reset,780,27.8,61,8,0.84,OFF,CLOSED
2026-06-18T03:04:28.212438+00:00,lab_overcrowded_high_co2,0,reset,780,27.8,61,8,0.84,OFF,CLOSED
2026-06-18T03:04:30.214092+00:00,lab_overcrowded_high_co2,1,step,980,28.4,64,18,0.83,OFF,CLOSED
2026-06-18T03:04:32.215466+00:00,lab_overcrowded_high_co2,2,step,1280,29.6,67,28,0.82,OFF,CLOSED
2026-06-18T03:04:34.216425+00:00,lab_overcrowded_high_co2,3,step,1680,31.4,72,38,0.82,OFF,CLOSED
2026-06-18T03:04:36.218677+00:00,lab_overcrowded_high_co2,4,step,2100,33.0,76,40,0.8,OFF,CLOSED
